act,link,pic,sco,title
韦斯利·斯奈普…、克里斯·克里斯…,http://dianying.2345.com/detail/1608.html,http//imgwx4.2345.com/dypcimg/img/f/0/s1608.jpg,7.0,刀锋战士3
孙伊涵、宋宁,http://dianying.2345.com/detail/193711.html,http//imgwx2.2345.com/dypcimg/img/a/64/s193711.jpg,7.4,我心雀跃
水田山葵、大原惠美,http://dianying.2345.com/detail/192621.html,http//imgwx3.2345.com/dypcimg/img/c/64/s192621.jpg,8.8,哆啦A梦大雄的南极冰冰凉大冒险
冯芷墨、徐丁,http://dianying.2345.com/detail/193659.html,http//imgwx4.2345.com/dypcimg/img/6/64/s193659.jpg,7.6,腹黑少爷小冤家
艾斯·库珀、艾勒比,http://dianying.2345.com/detail/30346.html,http//imgwx3.2345.com/dypcimg/img/douban/1309209/postb_s1354320_mini.jpg,7.9,极限特工2
西尔维斯特·史…、理查德·克里纳,http://dianying.2345.com/detail/174469.html,http//imgwx3.2345.com/dypcimg/img/1/58/s174469.jpg,8.8,第一滴血3
马春瑞、马子洛,http://dianying.2345.com/detail/193473.html,http//imgwx2.2345.com/dypcimg/img/c/64/s193473.jpg,7.2,火蝎特战队
山姆·尼尔、劳拉·邓恩,http://dianying.2345.com/detail/52954.html,http//imgwx1.2345.com/dypcimg/img/6/17/s52954.jpg?1439263208,8.9,侏罗纪公园
保罗·沃克、杰森·斯坦森,http://dianying.2345.com/detail/96048.html,http//imgwx3.2345.com/dypcimg/img/d/32/s96048.jpg,9.4,速度与激情7英语
威尔·法瑞尔、安娜·弗莱尔,http://dianying.2345.com/detail/34909.html,http//imgwx2.2345.com/dypcimg/img/1/11/s34909.jpg?1493026971,5.2,失落的大陆
钱小豪、吴耀汉,http://dianying.2345.com/detail/193747.html,http//imgwx4.2345.com/dypcimg/img/a/64/s193747.jpg,8.4,生化药尸
王宝强、白客,http://dianying.2345.com/detail/165988.html,http//imgwx3.2345.com/dypcimg/img/5/55/s165988.jpg?1490688001,8.1,大闹天竺
凯文·贝肯、弗莱德·沃德,http://dianying.2345.com/detail/30908.html,http//imgwx4.2345.com/dypcimg/img/4/10/s30908.jpg?1498028225,5.6,异形魔怪
伊万·麦克格雷…、艾莉诺·汤姆林…,http://dianying.2345.com/detail/89956.html,http//imgwx5.2345.com/dypcimg/img/8/29/s89956.jpg?1410847407,8.2,巨人捕手杰克
张雨绮、布兰登·罗斯,http://dianying.2345.com/detail/147718.html,http//imgwx1.2345.com/dypcimg/img/5/49/s147718.jpg?1447898047,5.1,蒸发太平洋
D·B·斯威尼、阿尔法·沃德,http://dianying.2345.com/detail/40417.html,http//imgwx5.2345.com/dypcimg/img/c/13/s40417.jpg?1498028147,7.3,恐龙国语版
林正英、钱小豪,http://dianying.2345.com/detail/18443.html,http//imgwx1.2345.com/dypcimg/img/f/6/s18443.jpg?1427939585,7.1,一眉道人
张殿伦、周德华,http://dianying.2345.com/detail/194053.html,http//imgwx3.2345.com/dypcimg/img/2/64/s194053.jpg?1503306291,8.7,无尽日
